Day Index,Quantity,Impressions,Clicks,Day,Month,Year,Day of Week,Weekend,December,January,February,March,April,May,June,is monday,is tuesday,is wednesday,is thursday,is friday,is saturday,is sunday,Quantity per Impressions,Quantity per Clicks,Quantity_lag1,Impressions_lag1,Clicks_lag1,Quantity 7-day MA,Impressions 7-day MA,Clicks 7-day MA
2022-03-19,25,2372,480,19,3,2022,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.010539629005059023,0.052083333333333336,19.0,2442.0,372.0,17.571428571428573,1630.4285714285713,485.0
2022-03-20,22,2572,502,20,3,2022,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.008553654743390357,0.043824701195219126,25.0,2372.0,480.0,18.0,1802.0,480.42857142857144
2022-03-21,25,2000,532,21,3,2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0125,0.046992481203007516,22.0,2572.0,502.0,19.714285714285715,1896.142857142857,477.57142857142856
2022-03-22,7,1336,522,22,3,2022,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.005239520958083832,0.013409961685823755,25.0,2000.0,532.0,18.571428571428573,1912.2857142857142,478.7142857142857
2022-03-23,15,1760,483,23,3,2022,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.008522727272727272,0.031055900621118012,7.0,1336.0,522.0,18.285714285714285,1958.142857142857,480.42857142857144
2022-03-24,32,1321,547,24,3,2022,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.024224072672218017,0.05850091407678245,15.0,1760.0,483.0,20.714285714285715,1971.857142857143,491.14285714285717
2022-03-25,24,1462,470,25,3,2022,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.016415868673050615,0.05106382978723404,32.0,1321.0,547.0,21.428571428571427,1831.857142857143,505.14285714285717
2022-03-26,24,2136,502,26,3,2022,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.011235955056179775,0.04780876494023904,24.0,1462.0,470.0,21.285714285714285,1798.142857142857,508.2857142857143
2022-03-27,21,2360,497,27,3,2022,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.008898305084745763,0.04225352112676056,24.0,2136.0,502.0,21.142857142857142,1767.857142857143,507.57142857142856
2022-03-28,21,1640,486,28,3,2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.012804878048780487,0.043209876543209874,21.0,2360.0,497.0,20.571428571428573,1716.4285714285713,501.0
2022-03-29,18,2038,514,29,3,2022,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.008832188420019628,0.03501945525291829,21.0,1640.0,486.0,22.142857142857142,1816.7142857142858,499.85714285714283
